name;description;1;2;3;4;5;6
A;A;1;0;0;0;0;0
B;B;1;0;1;0;0;0
C;C;1;1;0;0;0;0
D;D;1;1;0;1;0;0
E;E;1;0;0;1;0;0
F;F;1;1;1;0;0;0
G;G;1;1;1;1;0;0
H;H;1;0;1;1;0;0
I;I;0;1;1;0;0;0
J;J;0;1;1;1;0;0
K;K;1;0;0;0;1;0
L;L;1;0;1;0;1;0
M;M;1;1;0;0;1;0
N;N;1;1;0;1;1;0
O;O;1;0;0;1;1;0
P;P;1;1;1;0;1;0
Q;Q;1;1;1;1;1;0
R;R;1;0;1;1;1;0
S;S;0;1;1;0;1;0
T;T;0;1;1;1;1;0
U;U;1;0;0;0;1;1
V;V;1;0;1;0;1;1
W;W;0;1;1;1;0;1
X;X;1;1;0;0;1;1
Y;Y;1;1;0;1;1;1
Z;Z;1;0;0;1;1;1
Ä;ae;0;1;0;1;1;0
Ö;oe;0;1;1;0;0;1
Ü;ue;1;0;1;1;0;1
ß;eszett;0;1;1;0;1;1
1;1;1;0;0;0;0;0
2;2;1;0;1;0;0;0
3;3;1;1;0;0;0;0
4;4;1;1;0;1;0;0
5;5;1;0;0;1;0;0
6;6;1;1;1;0;0;0
7;7;1;1;1;1;0;0
8;8;1;0;1;1;0;0
9;9;0;1;1;0;0;0
0;0;0;1;1;1;0;0
;capital follows;0;0;0;0;0;1
;decimal follows;0;1;0;0;0;1
;number follows;0;1;0;1;1;1
.;period;0;0;1;1;0;1
,;comma;0;0;1;0;0;0
?;question mark;0;0;1;0;1;1
!;exclamation mark;0;0;1;1;1;0
:;colon;0;0;1;1;0;0
";";semicolon;0;0;1;0;1;0
-;hyphen;0;0;0;0;1;1
/;slash;0;1;0;0;1;0
<;angle braket left;0;1;1;0;0;1
>;angle braket right;1;0;0;1;1;0
(;parenthesis left;1;0;1;0;0;1
);parenthesis right;0;1;0;1;1;0
space;space;0;0;0;0;0;0
